disease,overview ,causes,symptoms ,precautions ,home_treatment ,awareness ,who_guidelines
Heat exhaustion,"A condition whose symptoms may include heavy sweating and a rapid pulse, a result of your body overheating. It's one of three heat-related syndromes, with heat cramps being the mildest and heatstroke being the most severe.","Caused by prolonged exposure to high temperatures, especially when combined with high humidity and strenuous physical activity, leading to excessive loss of water and salt through sweating.","Heavy sweating, faintness, dizziness, fatigue, cool and clammy skin, a weak but rapid pulse, nausea, and muscle cramps.","Move to a cool place immediately. Lie down and elevate your legs. Loosen clothing. Sip cool water or a sports drink. Apply cool, wet cloths to your body or take a cool bath.",Apply some sandalwood oil on the forehead.,"Heat exhaustion is a serious warning sign that the body is getting too hot. If not treated promptly, it can progress to heatstroke, which is a life-threatening emergency.","WHO provides public health advice and guidelines for health systems on how to prepare for and respond to heatwaves. Recommendations include public warnings, creating cooling centers, and advising individuals on how to stay cool and hydrated."
Heat stroke,"The most serious form of heat injury, considered a medical emergency. It occurs when the body's temperature regulation system fails, and body temperature rises to critically high levels (typically above 40°C or 104°F).","Caused by prolonged exposure to or physical exertion in high temperatures, leading to the body being unable to cool itself down.","High body temperature, altered mental state or behavior (confusion, agitation), hot and dry skin (in classic heatstroke) or heavy sweating (in exertional heatstroke), rapid pulse, and headache.","This is a medical emergency; call for immediate help. While waiting, move the person to a cooler environment and try to cool them down rapidly with whatever means available (e.g., cool bath, wet cloths, fanning). Do NOT give fluids to drink.","Have the cooling drink 'panna'. To prepare this, cook unripe or green mangoes in hot ashes. Extract the pulp and mix with water and sugar. You may even pressure cook the mangoes if you cannot make provision for the ashes.","Heatstroke can cause permanent damage to the brain, heart, kidneys, and muscles, and can be fatal if treatment is delayed. Immediate and aggressive cooling is critical.","WHO recognizes the increasing health risks from extreme heat due to climate change. Their guidance focuses on early warning systems, urban planning to reduce heat island effects, and emergency response plans for heatstroke cases during heatwaves."
Heels having pain,"Pain in the heel of the foot, most commonly caused by Plantar Fasciitis, which is an inflammation of the thick band of tissue (plantar fascia) that runs across the bottom of your foot.","Caused by strain and stress on the plantar fascia. Risk factors include obesity, jobs that require a lot of standing, high-impact exercise, flat feet or high arches, and unsupportive footwear.","A sharp, stabbing pain in the bottom of the heel. The pain is usually worst with the first few steps in the morning and can also be triggered by long periods of standing.","Rest, ice the painful area, perform regular stretching exercises for the calf and plantar fascia, and wear supportive shoes with good arch support. Avoid walking barefoot.","Mix equal amounts by weight of carom seeds (ajwain), onion seeds (kalaunji) fenugreek seeds (methi daana) and saboot isabgol. Have 1 tablespoon every day first thing in the morning. If you like you can grind them slightly in the mixer - makes it more effective. This treatment takes a couple of months but is a sure shot remedy.","Plantar fasciitis is a very common cause of heel pain. It can be persistent and frustrating, but most people recover with conservative treatments over several months.","WHO guidelines on musculoskeletal health and healthy aging promote physical activity and maintaining a healthy weight, which can help prevent conditions like plantar fasciitis. They also support access to physical therapy and rehabilitation services."
Hemophilia,"A rare, inherited bleeding disorder in which the blood does not clot properly.","Caused by a lack of or defect in one of the blood clotting factor proteins. It is a genetic disorder passed down from parents to children, affecting mostly males.","The main symptom is prolonged bleeding or oozing after an injury, surgery, or dental work. Spontaneous bleeding into the joints and muscles can also occur, causing pain and swelling.","As it is a genetic disorder, it cannot be prevented. Genetic counseling and testing are available for families with a history of hemophilia.","DISCLAIMER: Hemophilia requires specialized medical care at a hemophilia treatment center. The main treatment is replacing the missing clotting factor (factor replacement therapy). Home care involves learning how to administer factor infusions and avoiding activities with a high risk of injury. Avoid medications that can increase bleeding, like aspirin.","Hemophilia is a lifelong condition. With proper treatment and management, people with hemophilia can live full and active lives. Bleeding into joints is a major long-term complication that can lead to arthritis.","WHO works with the World Federation of Hemophilia to improve access to care for people with bleeding disorders, especially in low- and middle-income countries. This includes improving diagnosis and ensuring a sustainable supply of treatment products."
Hemorrhoids,"Swollen veins in the anus and lower rectum, similar to varicose veins. They can be internal (inside the rectum) or external (under the skin around theanus).","Caused by increased pressure in the lower rectum. This can be due to straining during bowel movements, chronic constipation or diarrhea, sitting for long periods on the toilet, obesity, and pregnancy.","Symptoms can include painless bleeding during bowel movements (bright red blood), itching or irritation in the anal region, pain or discomfort, and a lump near the anus.","The most important precaution is to prevent constipation and straining. Eat a high-fiber diet, drink plenty of fluids, and get regular exercise. Avoid sitting on the toilet for long periods.","DISCLAIMER: See a doctor for any rectal bleeding. For mild symptoms, home treatments can be effective. Taking warm baths (sitz baths), applying over-the-counter hemorrhoid creams or witch hazel pads, and using stool softeners. Keeping the anal area clean and dry.",Hemorrhoids are very common but usually not serious. They often go away on their own with home care. Persistent or painful hemorrhoids may require medical procedures.,WHO's dietary guidelines promoting high-fiber diets for overall health also serve to prevent the constipation that is a primary cause of hemorrhoids.
Hepatitis,"Inflammation of the liver. It is most often caused by a virus (viral hepatitis - types A, B, C, D, and E), but can also be caused by alcohol, toxins, medications, and autoimmune diseases.","Hepatitis A and E are typically caused by ingestion of contaminated food or water. Hepatitis B, C, and D usually occur as a result of contact with infected body fluids.","Many people have no symptoms. When they occur, they can include fatigue, nausea, poor appetite, abdominal pain, a mild fever, dark urine, and jaundice (yellowing of the skin and eyes).","Vaccinations are available for Hepatitis A and B. To prevent other forms, practice good hygiene, avoid sharing needles, practice safe sex, and limit alcohol consumption.",1 to 2 teaspoon fresh juice of coriander (dhania) leaves is mixed in 1 cup buttermilk and taken 2-3 times.,Chronic hepatitis B and C are leading causes of liver cancer and cirrhosis worldwide. Many people are unaware they are infected. Testing is crucial for early diagnosis and treatment.,"WHO is working towards the global elimination of viral hepatitis by 2030. Their strategy involves raising awareness, promoting vaccination (especially for Hepatitis B), improving access to testing, and ensuring availability of effective treatments for Hepatitis B and C."
Hepatitis A,A highly contagious liver infection caused by the hepatitis A virus (HAV). It is an acute (short-term) illness.,"The virus is transmitted primarily through the fecal-oral route, by ingesting food or water contaminated with the feces of an infected person. It is common in areas with poor sanitation.","Symptoms can include fatigue, nausea, vomiting, abdominal pain, loss of appetite, low-grade fever, dark urine, and jaundice (yellowing of the skin and eyes). Young children often have no symptoms.","The most effective precaution is the hepatitis A vaccine. Practicing good hygiene, including thorough handwashing after using the toilet and before handling food, and consuming safe food and water are also crucial.","DISCLAIMER: There is no specific treatment for hepatitis A. The body will clear the virus on its own. Home care focuses on rest, managing nausea, and maintaining adequate nutrition and hydration. Avoid alcohol to let the liver heal.","Hepatitis A does not cause chronic liver disease, and infection provides lifelong immunity. While most people recover fully, it can cause a severe illness that requires hospitalization and, in rare cases, can be fatal.","WHO strongly recommends the hepatitis A vaccine be integrated into routine childhood immunization schedules in countries with high rates of infection. They also promote improvements in water, sanitation, and hygiene (WASH) as a key prevention strategy."
Hepatitis B,"A potentially life-threatening liver infection caused by the hepatitis B virus (HBV). It can be both an acute illness and a chronic, lifelong infection.","The virus is transmitted through contact with the blood or other body fluids of an infected person. Common modes of transmission include sexual contact, sharing needles, and from an infected mother to her baby at birth.","Many people have no symptoms during the acute infection. When they occur, they are similar to Hepatitis A (fatigue, jaundice). Chronic infection also may not cause symptoms for decades, until the liver is severely damaged.","The most effective precaution is the hepatitis B vaccine. Practicing safe sex, not sharing needles or personal items like razors, and screening pregnant women are other key measures.","DISCLAIMER: Chronic hepatitis B requires lifelong monitoring and management by a doctor. Antiviral medications can help control the virus. Home care involves protecting your liver: avoid alcohol, eat a healthy diet, and check with your doctor before taking any new medications or supplements.","Chronic hepatitis B is a major cause of serious liver disease, including cirrhosis and liver cancer. While there is no cure for the chronic infection, treatment can control the virus and reduce the risk of complications.","WHO's global strategy for eliminating viral hepatitis has a major focus on hepatitis B. Key pillars are universal infant vaccination, prevention of mother-to-child transmission, blood and injection safety, and increasing access to testing and treatment."
Hepatitis C,"A liver infection caused by the hepatitis C virus (HCV). It is primarily a blood-borne virus. For some people, hepatitis C is a short-term illness, but for most, it becomes a long-term, chronic infection.","The virus is most commonly transmitted through exposure to small quantities of blood. This may happen through injection drug use, unsafe healthcare practices, or the transfusion of unscreened blood. Sexual transmission is less common.","Most people with acute or chronic hepatitis C have no symptoms. If they do occur, they are often mild and nonspecific, like fatigue. Many people don't know they are infected until they develop liver damage decades later.",There is no vaccine for hepatitis C. Prevention relies on reducing the risk of exposure. This includes not sharing needles or injection equipment and ensuring that medical procedures are performed with sterile equipment.,DISCLAIMER: Hepatitis C is now a curable disease with highly effective direct-acting antiviral (DAA) medications. Home care involves taking the prescribed medication course exactly as directed and avoiding alcohol to protect the liver.,"Chronic hepatitis C is a leading cause of cirrhosis and liver cancer. The development of DAA medications has revolutionized treatment, offering a cure to over 95% of people. The challenge is getting people tested and linked to care.","WHO's global strategy aims to eliminate viral hepatitis by 2030, with a major focus on hepatitis C. Their strategy involves scaling up testing to find the millions of undiagnosed people and ensuring access to affordable, curative DAA treatments."
Hernia,"A general term for when an organ pushes through an opening in the muscle or tissue that holds it in place. The most common types are abdominal hernias (inguinal, femoral, umbilical, incisional).",Caused by a combination of muscle weakness and strain. Anything that causes increased pressure in the abdomen can contribute to a hernia.,"The most common symptom is a bulge or lump in the affected area. There may be pain or discomfort, especially when coughing, bending over, or lifting something heavy.","Maintain a healthy weight, eat a high-fiber diet to prevent straining, lift heavy objects properly, and don't smoke (to prevent chronic coughing).",DISCLAIMER: A hernia requires medical evaluation. Home care cannot cure it. Avoiding heavy lifting and straining can prevent it from worsening. Wearing a supportive garment like a truss may provide temporary comfort but is not a long-term solution.,"Hernias do not heal on their own and usually require surgery to repair. A strangulated hernia, where the blood supply is cut off, is a medical emergency.","WHO includes hernia repair as an essential surgical procedure, working to improve access to safe and affordable surgery worldwide, which is critical for preventing the life-threatening complications of untreated hernias."
Herpes Simplex Virus Infection,"Infection with the herpes simplex virus (HSV). HSV-1 typically causes oral herpes (cold sores), and HSV-2 typically causes genital herpes, but both viruses can infect either area.",The virus is transmitted through direct contact with sores or sometimes with the skin of an infected person even when no sores are visible (asymptomatic shedding).,Symptoms are characterized by blisters or ulcers at the infection site. Oral herpes: sores around the mouth or on the face. Genital herpes: sores on or around the genitals. Many people have very mild or no symptoms.,"Avoid direct contact (like kissing or sexual contact) with someone who has an active outbreak. Using condoms can reduce but not eliminate the risk of genital transmission. Don't share items that touch the mouth, like utensils or lip balm.","DISCLAIMER: There is no cure for herpes. Antiviral medications can shorten and prevent outbreaks. For an outbreak, keeping the area clean and dry can help healing. Applying a cool compress may offer some relief.",HSV is a lifelong infection. The virus stays dormant in the nerve cells and can reactivate periodically. It is an extremely common infection worldwide.,"WHO tracks the global prevalence of HSV infections. Their strategy focuses on promoting awareness, encouraging safe sexual practices to prevent genital herpes, and supporting research for better treatments and a preventative vaccine."
Hiatal Hernia,A condition in which the upper part of your stomach bulges through the large muscle separating your abdomen and chest (diaphragm).,"The exact cause is often not known. It may be caused by increased pressure in the abdomen from things like coughing, straining, or heavy lifting, combined with a weakening of the diaphragm muscle. Age and obesity are risk factors.","Most small hiatal hernias cause no problems. Larger ones can allow food and acid to back up into the esophagus, causing symptoms of GERD, such as heartburn, regurgitation, and chest pain.","Maintain a healthy weight, avoid straining during bowel movements, and get help with heavy lifting.","DISCLAIMER: Medical treatment is usually only needed if it causes severe GERD. Home care is focused on managing reflux symptoms. Eat smaller, more frequent meals, avoid trigger foods, don't lie down after eating, and elevate the head of your bed.","A hiatal hernia itself rarely requires treatment. The focus is on managing the symptoms of acid reflux it may cause. In rare cases, very large hernias may require surgical repair.",WHO's health promotion messages about maintaining a healthy weight and diet for preventing non-communicable diseases are also relevant for reducing the risk and symptoms associated with hiatal hernias.
Hiccups,"Involuntary contractions (spasms) of the diaphragm muscle. Each contraction is followed by a sudden closure of your vocal cords, which produces the characteristic ""hic"" sound.","Common triggers include eating a large meal, drinking alcoholic or carbonated beverages, sudden excitement or emotional stress, or swallowing air. They are rarely a sign of an underlying medical problem.","The repeated, uncontrollable ""hic"" sound.","There is no certain way to stop them, but common home remedies include holding your breath, drinking a glass of cold water quickly, or swallowing a teaspoon of sugar. They usually go away on their own.","Drink ½ glass water, slowly. w Keep a teaspoon of sugar in your month and suck slowly. Swallow ½ teaspoon mustard seeds (sarson) mixed with ½ teaspoon pure ghee. Grind 4 cardamom (chhoti illaichi) well. Boil it in 2½ cups or ½ litre water. When about 1 cup water remains, remove from fire and sieve it through a muslin cloth. Let it cool. When warm, drink a glassful. Works like magic. Suck 2-3 small pieces of fresh ginger (adrak). This helps in hiccups which keep occurring again and again.","Hiccups are a common, harmless reflex. While annoying, they are almost always temporary. Hiccups that last for more than 48 hours (persistent hiccups) should be evaluated by a doctor as they can signal an underlying condition.","WHO does not provide guidelines for hiccups as they are a benign, self-limiting reflex and not a public health concern."
High Blood Pressure,"A common condition in which the long-term force of the blood against your artery walls is high enough that it may eventually cause health problems, such as heart disease. Also known as hypertension.","The exact causes are often not known, but it's linked to genetics, age, and lifestyle factors like a high-salt diet, lack of exercise, obesity, excessive alcohol, and stress.","Hypertension is often called the ""silent killer"" because it typically has no signs or symptoms. The only way to know if you have it is to get your blood pressure checked regularly.","Eat a heart-healthy, low-salt diet. Get regular physical activity. Maintain a healthy weight. Limit alcohol. Don't smoke. Manage stress. Take prescribed medications as directed.","Restrict salt intake and drink plenty of fluids (at least 8-10 glasses of water daily) Drink curry leaves (curry patta) juice initially 3 times a day (1 glassful) for 1- 2 months and then reduce to only once in the morning. Have it on empty stomach. For taking out juice: fill your mixy with washed curry leaves, add ½3/4 glass water. Churn well and sieve. Add ½ - 1 lemon juice and drink fresh. Have single pod garlic (lasan), one pod first thing every morning or if this is not available, have 1-2 cloves of ordinary garlic (lasan). If you get discomfort with having garlic first thing in the morning, have 2 cloves twice a day - swallow with water any time or with meals. Mix 1 teaspoon honey, 1 teaspoon ginger (adrak) juice, 1 teaspoon cumin (jeera) powder. Have twice a day. Go on an apple diet for a few days. It has a diuretic effect and thus brings down the B.P. Fruits such as mausami, orange, peaches (aaru), plum (aloo bukhara), watermelon (tarbooz) are also beneficial. Having rice, particularly brown rice as the main staple food is very beneficial. As rice has very low sodium content and low cholesterol, it is a perfect diet for those who have been advised to have low salt diets. Consumption of natural diuretics like coconut water, butter milk, coriander (dhania) juice (make from green coriander in the same way as curry leaves juice) is very beneficial. Last but not the least, rest, relaxation and good sleep are effective in keeping B.P. under control. Drink coriander (dhania) juice made from fresh dhania (same way as curry leaves juices) 3 times a day. If this is not effective, start having fenugreek (methi) juice instead (made from fresh methi) and if this is also not effective, move to curry leaves juice. Drink each juice for 10-12 days at least before you decide. If it is not working and then move to the next one.","High blood pressure is a major risk factor for heart attack, stroke, and kidney disease. It's a very common and manageable condition. Knowing your numbers is the first step.","WHO identifies hypertension as a leading cause of premature death worldwide. Their HEARTS technical package provides a strategic approach for countries to improve cardiovascular health, with a key focus on hypertension detection, treatment, and control at the primary care level."
High Cholesterol,A condition where you have too much of a waxy substance called cholesterol in your blood. High cholesterol can lead to a buildup of plaque in your arteries (atherosclerosis).,"Caused by a combination of genetics and lifestyle choices. An unhealthy diet high in saturated and trans fats, lack of physical activity, and smoking are major contributors.",There are no symptoms. A blood test is the only way to detect high cholesterol.,"Eat a diet low in saturated and trans fats. Choose lean meats, whole grains, fruits, and vegetables. Exercise regularly. Maintain a healthy weight. Don't smoke.",Finely dice an onion and mix it with 1 cup buttermilk along with ¼ teaspoon black pepper (kali mirch) powder and drink. Regularly intake garlic (lasan) cloves for a few days. Regularly intake coriander (dhania) decoction made by boiling 2 teaspoon dry seed powder in 1 cup water. (Milk and sugar can be added to improve its taste. This could be a welcome substitute for tea or coffee.),"High cholesterol significantly increases your risk of heart disease and stroke. It is a manageable condition. Lifestyle changes are the first line of defense, but many people also require medication (like statins).","WHO guidelines for the prevention of cardiovascular disease strongly emphasize the management of cholesterol levels through diet, physical activity, and pharmacological therapy when necessary. It is a key target in reducing the global burden of NCDs."
HIV/AIDS,"HIV (human immunodeficiency virus) is a virus that attacks the body's immune system. If HIV is not treated, it can lead to AIDS (acquired immunodeficiency syndrome), the most advanced stage of the infection.","HIV is spread through certain body fluids from an infected person, including blood, semen, vaginal fluids, rectal fluids, and breast milk. The most common modes of transmission are unprotected sex and sharing injection drug equipment.","Early symptoms can be flu-like (fever, rash, sore throat) a few weeks after infection. After this, the virus can be asymptomatic for years. As the immune system weakens, people can develop opportunistic infections and cancers, which defines AIDS.","Use condoms correctly every time you have sex. Do not share needles. If you are at high risk, consider pre-exposure prophylaxis (PrEP). Pregnant women with HIV should receive treatment to prevent passing the virus to their baby.","DISCLAIMER: HIV requires lifelong medical treatment with antiretroviral therapy (ART). There is no cure. Home care involves strict adherence to the medication schedule, eating a healthy diet to support the immune system, practicing safe sex to prevent transmission, and managing any side effects of the medication with your doctor.","With effective ART, people with HIV can live long, healthy lives and will not develop AIDS. Treatment can also reduce the amount of virus in the body to an undetectable level, which means they cannot transmit the virus to a sexual partner (Undetectable = Untransmittable).","WHO leads the global health sector response to HIV. Their strategy focuses on prevention (condoms, PrEP), scaling up testing to ensure everyone knows their status, and ensuring universal access to quality antiretroviral therapy and care."
Hodgkin’s Lymphoma,"A type of cancer that affects the lymphatic system, which is part of the body's germ-fighting immune system. It is distinguished by the presence of specific abnormal cells called Reed-Sternberg cells.","The exact cause is unknown, but risk factors include infection with the Epstein-Barr virus (EBV), a weakened immune system (like from HIV), a family history of the disease, and being in a certain age group (early adulthood or after age 55).","Painless swelling of lymph nodes in the neck, armpits, or groin; persistent fatigue; fever; night sweats; unexplained weight loss; severe itching; increased sensitivity to the effects of alcohol or pain in lymph nodes after drinking alcohol.","There is no known way to prevent Hodgkin's lymphoma. However, maintaining a healthy lifestyle and avoiding known risk factors, such as HIV infection, may lower the risk. Early detection through awareness of symptoms is key.","*Disclaimer: Medical treatment is essential and should not be replaced with home remedies.* Home care focuses on managing the side effects of treatment: maintain a balanced diet to stay strong, get adequate rest to combat fatigue, practice stress-reduction techniques like meditation, and use moisturizers for itchy skin.","Hodgkin's lymphoma is one of the most curable forms of cancer, especially when diagnosed and treated early. Awareness of the symptoms, particularly persistent swollen lymph nodes, is crucial for early diagnosis.","WHO includes lymphomas in its global cancer control strategies, promoting early diagnosis, affordable and accessible treatment, and palliative care. It emphasizes strengthening health systems to manage cancers effectively in all countries."
Hyperthyroidism,A condition in which the thyroid gland is overactive and produces an excessive amount of thyroid hormones (thyroxine). This condition accelerates the body's metabolism significantly.,"The most common cause is Graves' disease, an autoimmune disorder. Other causes include overactive thyroid nodules (toxic adenoma), thyroiditis (inflammation of the thyroid gland), or consuming too much iodine.","Unintentional weight loss despite an increased appetite, rapid or irregular heartbeat (palpitations), nervousness, anxiety, irritability, hand tremors, sweating, changes in menstrual patterns, and sensitivity to heat.","Avoid smoking, as it is a significant risk factor for Graves' disease. Manage stress and avoid excessive iodine intake from foods or supplements unless directed by a doctor. Regular check-ups are important for those with risk factors.","*Disclaimer: This condition requires medical diagnosis and treatment.* To support medical treatment, focus on a balanced diet rich in calcium and vitamin D to protect bones. Avoid caffeine and other stimulants that can worsen symptoms like anxiety and rapid heart rate. Selenium-rich foods like Brazil nuts may support thyroid health.","It's a manageable condition, but if left untreated, it can lead to serious heart problems, bone loss, and a dangerous condition called thyroid storm. Awareness of symptoms like unexplained weight loss and anxiety can lead to early diagnosis.","WHO addresses thyroid disorders as part of its management of noncommunicable diseases. It supports universal salt iodization programs, which are crucial for preventing iodine deficiency disorders, while also monitoring for iodine excess."
Hypoglycemia,"A condition characterized by an abnormally low level of blood sugar (glucose), the body's primary source of energy. It is most often seen in people with diabetes who are using insulin or other diabetes medications.","In people with diabetes, causes include taking too much insulin or medication, skipping a meal, or exercising more than usual. In non-diabetics, causes can include certain medications, excessive alcohol consumption, critical illnesses, or tumors.","Shakiness, dizziness, sweating, hunger, fast heartbeat, irritability or moodiness, anxiety, confusion, headache, and blurred vision. Severe hypoglycemia can lead to seizures and loss of consciousness.","For diabetics, regularly monitoring blood sugar, eating regular meals and snacks, and adjusting medication and exercise plans with a doctor is crucial. For non-diabetics, eating small, frequent meals with a mix of carbohydrates, protein, and fat can help.","The standard immediate treatment is the '15-15 rule': consume 15 grams of a fast-acting carbohydrate (like fruit juice, glucose tablets, or hard candy), wait 15 minutes, and then recheck blood sugar levels. Repeat if it's still low. Once levels normalize, eat a small snack with protein and carbs to prevent another drop.",Hypoglycemia can be a medical emergency. People with diabetes and their families should be educated on recognizing the symptoms and how to treat them quickly. Carrying a source of fast-acting sugar is essential for at-risk individuals.,"WHO's guidelines on diabetes management heavily emphasize the prevention, recognition, and management of hypoglycemia. Patient education on self-monitoring of blood glucose and symptom awareness is a core recommendation."
Hypothyroidism,A condition where the thyroid gland is underactive and doesn't produce enough crucial thyroid hormones. This slows down the body's metabolism.,"The most common cause is Hashimoto's disease, an autoimmune disorder where the immune system attacks the thyroid. Other causes include radiation therapy to the neck, thyroid surgery, certain medications, and iodine deficiency.","Fatigue, increased sensitivity to cold, constipation, dry skin, weight gain, puffy face, hoarseness, muscle weakness, elevated blood cholesterol level, thinning hair, and depression.","While often not preventable, avoiding excessive intake of goitrogens (in raw cruciferous vegetables) for those with iodine deficiency may help. Ensure adequate, but not excessive, iodine intake. Regular check-ups are important.","*Disclaimer: Medical treatment with hormone replacement is necessary.* To support treatment, a diet rich in iodine (iodized salt, seafood), selenium (Brazil nuts, fish), and zinc (oysters, beef) is beneficial. Avoid processed foods and maintain a regular, gentle exercise routine to combat fatigue and aid metabolism.","It is a common and highly treatable condition. Many symptoms are non-specific and can be mistaken for other conditions, so awareness is key for diagnosis. Lifelong medication is often required to manage the condition effectively.","WHO focuses on preventing iodine deficiency, a leading cause of hypothyroidism globally, through its universal salt iodization programs. This has dramatically reduced the incidence of conditions like goiter and cretinism."
Idiopathic Pulmonary Fibrosis (IPF),"A chronic, progressive lung disease characterized by scarring (fibrosis) of the lung tissue. 'Idiopathic' means the cause is unknown. The scarring makes the lungs thick and stiff, making it difficult to breathe.","The cause is unknown. Risk factors include cigarette smoking, certain viral infections, exposure to environmental pollutants (like dust from wood, metal, or stone), and a family history of the disease. It typically affects older adults.","Shortness of breath (especially during physical activity), a dry, hacking cough that doesn't go away, fatigue, unexplained weight loss, and clubbing (widening and rounding) of the tips of the fingers or toes.",Avoiding smoking is the most significant preventive step. Minimizing exposure to occupational and environmental dust and fumes is also recommended. Early diagnosis is crucial to manage the disease and slow its progression.,"*Disclaimer: Medical treatment is essential to manage symptoms.* Home care involves energy conservation techniques, using supplemental oxygen as prescribed, and practicing breathing exercises (pursed-lip breathing) to improve efficiency. Eating small, frequent, nutrient-dense meals can help combat weight loss and fatigue.","IPF is a serious, life-limiting disease. Awareness is focused on the importance of early diagnosis, as treatments are more effective at slowing the disease's progression when started early. Support groups are vital for patients and caregivers.",WHO classifies IPF under interstitial lung diseases. It promotes research and supports policies aimed at reducing exposure to risk factors like tobacco smoke and air pollution as part of its strategy against chronic respiratory diseases.
Impetigo,"A highly contagious skin infection that mainly affects infants and children. It usually appears as reddish sores on the face, especially around the nose and mouth, and on the hands and feet. The sores burst and develop honey-colored crusts.","It's caused by bacteria, most often Staphylococcus aureus or Streptococcus pyogenes. The bacteria can enter the body through a cut, insect bite, or other injury to the skin, but it can also develop on healthy skin.","Red sores that quickly rupture, ooze for a few days, and then form a yellowish-brown crust. The sores are often itchy but not painful. A more serious form can cause large, painful, fluid-filled blisters.","Good hygiene is the best prevention. Wash hands, cuts, scrapes, and insect bites with soap and water. Avoid sharing personal items like towels or razors. Keep fingernails short to prevent scratching from spreading the infection.","*Disclaimer: Medical advice and often prescription antibiotics are needed.* For minor cases, gently washing the sores with soap and water to remove crusts can help. Applying a non-prescription antibiotic ointment may be suggested by a doctor. Keep the area clean and covered with a light bandage.","Awareness is key to preventing its spread, especially in schools and daycares. It's important to know that it's contagious until the sores heal or after 24-48 hours of antibiotic treatment. Children should stay home from school until no longer contagious.","WHO addresses skin infections like impetigo as part of its programs on integrated management of childhood illness and skin-related neglected tropical diseases, emphasizing hygiene, sanitation, and access to basic healthcare and antibiotics."
Indigestion,"A general term for discomfort or pain in the upper abdomen, often occurring after eating. It is a symptom, not a disease. Also known as dyspepsia.","Commonly caused by overeating, eating too quickly, or consuming fatty, greasy, or spicy foods. It can also be triggered by stress, smoking, alcohol, or be a symptom of an underlying problem like GERD or ulcers.","Symptoms include a feeling of fullness during a meal, uncomfortable fullness after a meal, burning or pain in the upper abdomen, and bloating.","Eat smaller, more frequent meals. Avoid trigger foods. Chew your food slowly and completely. Manage stress. Reduce caffeine and alcohol intake.","20 ml. decoction prepared from 5 gm. coarse powder with a pinch of ginger powder thrice a day.5-10 ml. juice twice or thrice daily.A pinch of powder with a piece of cru sh ed ginger & rock salt should be taken before meal.2gm. powder with guda twice daily before meal.5-10 ml. juice of fruit twice daily.10 ml. juice of fruit, 1 gm. blacksalt or fried Jira powder with honey or sugar to hold inside m ou th for so m etim e b efo re food.2 gm. powder of bark with water twice a day.3-5 gm. powder with powder of fried Jeera and rock-salt with warm water thrice daily.1-2 gm. powder with warm water.5-6 gm. powder of fried Jeera and rock-salt with warm water thrice daily.5 gm. crushed rhizome with salt or jaggery twice daily before meal.5-10 ml. juice with a pinch of salt and pepper before food. not every remedy is necessary to for relif you can try any of it.","Occasional indigestion is very common and usually not a cause for concern. However, if it is persistent or accompanied by severe pain, weight loss, or difficulty swallowing, you should see a doctor.",WHO does not have specific guidelines for indigestion itself but addresses its common underlying causes like GERD or H. pylori infection. General dietary advice promotes healthy eating patterns which can prevent indigestion.
Inflammatory Bowel Disease (IBD),An umbrella term used to describe chronic inflammatory conditions of the gastrointestinal (GI) tract. The two main types are Crohn's disease and ulcerative colitis.,"The exact cause is unknown but is believed to result from a faulty immune system response to environmental triggers in genetically predisposed individuals. It is not caused by stress or diet, though these can trigger flare-ups.","Persistent diarrhea, abdominal pain, rectal bleeding or bloody stools, weight loss, and fatigue. The symptoms can vary depending on the location and severity of inflammation.","There's no known prevention. However, managing the disease involves avoiding triggers that can cause a flare-up. This includes managing stress, quitting smoking (a major risk factor for Crohn's disease), and avoiding certain medications like NSAIDs if they worsen symptoms.","*Disclaimer: Medical treatment is essential.* During flare-ups, a low-residue or low-fiber diet may help reduce symptoms. Keeping a food diary can identify personal trigger foods. Probiotics may help some individuals. Stress management techniques like yoga and meditation are beneficial.","IBD is a chronic, lifelong condition with periods of remission and relapse. It is different from Irritable Bowel Syndrome (IBS). Awareness helps reduce stigma and emphasizes that it's a serious autoimmune disease, not just a sensitive stomach.",WHO recognizes IBD as a significant noncommunicable digestive disease that impacts quality of life. It supports research into causes and effective treatments and works to integrate digestive health into broader public health strategies.
Influenza (Flu),"A contagious respiratory illness caused by influenza viruses that infect the nose, throat, and sometimes the lungs. It can cause mild to severe illness, and at times can lead to death.","Caused by influenza viruses (Type A, B, and C). It spreads through respiratory droplets when infected people cough, sneeze, or talk. You can also get it by touching a surface with the virus on it and then touching your own mouth, nose, or eyes.","Sudden onset of fever, cough, sore throat, runny or stuffy nose, muscle or body aches, headaches, and fatigue. Some people may have vomiting and diarrhea, though this is more common in children.","The single best way to prevent the flu is to get a flu vaccine each year. Other important measures include frequent hand washing with soap and water, avoiding touching your eyes, nose, and mouth, and staying away from people who are sick.","*Disclaimer: Seek medical care for severe symptoms.* Rest and hydration are crucial. Drink plenty of water, juice, and warm soup to prevent dehydration. Over-the-counter medications like ibuprofen or acetaminophen can help relieve symptoms like fever and aches. A humidifier may ease a cough and sore throat.","The flu is more dangerous than the common cold for many people, especially high-risk groups like young children, older adults, and those with chronic health conditions. Annual vaccination is the most effective public health measure to prevent severe outcomes.","WHO's Global Influenza Programme monitors influenza activity worldwide, provides guidance to countries for surveillance and response, and makes recommendations on the composition of the seasonal flu vaccine twice a year."
